danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
0.872,0.758,0,-6.006,1,0.0542,8.14e-05,0.387,0.0632,0.91,131.995,163283,4,1
0.529,0.903,2,-4.099,0,0.0505,0.0154,7.22e-06,0.169,0.0547,140.048,239483,4,1
0.678,0.729,8,-4.188,1,0.137,0.0658,0,0.303,0.643,99.895,189173,4,1
0.755,0.74,0,-5.354,0,0.04,0.356,1.05e-05,0.0994,0.33,116.946,205440,4,1
0.801,0.797,2,-7.56,1,0.0499,0.00995,0.0505,0.114,0.749,126.008,262857,4,1
0.545,0.952,0,-4.413,1,0.049,0.000255,0.0432,0.151,0.099,133.036,223819,4,1
0.651,0.711,3,-5.062,0,0.0378,0.111,6.13e-05,0.0488,0.425,125.089,191954,4,1
0.574,0.728,1,-4.777,1,0.062,0.0161,1.42e-06,0.0851,0.266,125.047,214942,4,1
0.688,0.841,4,-4.874,0,0.0481,0.0485,1.37e-05,0.762,0.432,122.986,226636,4,1
0.418,0.806,6,-5.493,0,0.069,0.000587,0.513,0.0884,0.138,134.034,266866,4,1
0.784,0.913,1,-1.208,1,0.177,0.0114,0.00162,0.0831,0.59,126.054,199048,4,1
0.81,0.916,11,-8.662,1,0.0561,0.00078,0.717,0.0363,0.878,125.002,354464,4,1
0.545,0.814,9,-4.398,0,0.0409,0.028,0,0.0969,0.696,104.93,157143,4,1
0.739,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000,4,1
0.6,0.747,5,-4.304,0,0.131,0.171,9.94e-05,0.0848,0.524,157.619,164051,4,1
0.734,0.765,7,-5.562,1,0.0621,0.151,0,0.231,0.518,109.989,163636,4,1
0.831,0.847,11,-5.733,1,0.0445,0.00709,0.648,0.158,0.874,121.006,169754,4,1
0.813,0.781,1,-5.764,1,0.0341,0.048,0.284,0.0577,0.811,120.99,230163,4,1
0.706,0.847,10,-4.405,0,0.0709,0.106,0.0888,0.137,0.592,124.906,195784,4,1
0.659,0.57,6,-9.748,0,0.133,0.229,0.00196,0.498,0.218,122.11,244007,4,1
0.724,0.829,0,-4.215,0,0.0476,0.191,0.182,0.234,0.465,125.004,220801,4,1
0.706,0.871,9,-6.114,1,0.233,0.0826,0,0.0894,0.292,99.989,217800,4,1
0.514,0.849,4,-7.38,0,0.0329,0.0128,0.0135,0.252,0.33,125.989,218453,4,1
