@relation data

@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute featured numeric

@data
0.672,0.357,6,-11.988,0,0.103,0.247,0,0.101,0.202,140.983,219584,4,1
0.554,0.667,7,-9.343,1,0.0439,0.0632,0.000014,0.0686,0.281,100.017,217633,4,1
0.689,0.679,7,-5.893,1,0.0517,0.195,0.00111,0.224,0.475,149.972,209773,4,1
0.58,0.746,10,-5.704,1,0.04,0.00948,0.000068,0.11,0.548,97.008,201953,4,1
0.698,0.835,1,-4.847,0,0.414,0.556,0,0.209,0.646,89.11,232853,4,1
0.597,0.713,1,-4.393,0,0.0288,0.171,0,0.216,0.559,137.959,207576,4,1
0.693,0.688,11,-4.988,0,0.0342,0.0138,0.000388,0.12,0.3,124.045,209800,4,1
0.321,0.333,11,-10.583,0,0.0335,0.812,0.000092,0.117,0.199,99.242,200888,4,1
0.62,0.768,8,-5.681,0,0.103,0.0328,0.0599,0.225,0.748,172.09,209653,4,1
0.593,0.836,7,-5.411,0,0.0764,0.0161,0.0193,0.135,0.634,115.011,196839,4,1
0.773,0.437,9,-8.281,1,0.0963,0.836,0.000024,0.544,0.707,103.861,169973,4,1
0.446,0.884,9,-8.422,1,0.0603,0.0508,0.000159,0.134,0.217,139.039,249847,4,1
0.942,0.539,4,-10.442,0,0.0866,0.0229,0.000276,0.0887,0.727,125.035,264027,4,1
0.547,0.7,7,-8.423,1,0.0298,0.46,0.7,0.254,0.356,125.989,174475,4,1
0.423,0.21,1,-14.036,1,0.0354,0.875,0.00805,0.0984,0.104,121.679,174573,4,1
0.701,0.843,4,-3.59,0,0.13,0.0741,0,0.0532,0.6,91.973,302613,4,1
