danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
0.894359,0.758647,0,0.85528,1,0.057844,0.000077,0.388164,0.049704,0.933333,0.617261,0.109813,0.8,1
0.542564,0.90386,0.181818,0.900836,0,0.053895,0.015457,0.000007,0.159489,0.056103,0.65492,0.178278,0.8,1
0.695385,0.729605,0.727273,0.89871,1,0.146211,0.06606,0,0.298537,0.659487,0.467148,0.133075,0.8,1
0.774359,0.740621,0,0.870855,0,0.042689,0.357427,0.000011,0.087268,0.338462,0.546886,0.147691,0.8,1
0.821538,0.797704,0.181818,0.818156,1,0.053255,0.009985,0.050652,0.102418,0.768205,0.589263,0.199279,0.8,1
0.558974,0.952931,0,0.893335,1,0.052295,0.000251,0.04333,0.140811,0.101538,0.622129,0.164204,0.8,1
0.667692,0.711579,0.272727,0.877831,0,0.040342,0.111441,0.000061,0.034762,0.435897,0.584965,0.135573,0.8,1
0.588718,0.728603,0.090909,0.884639,1,0.066169,0.01616,0.000001,0.072429,0.272821,0.584769,0.156228,0.8,1
0.705641,0.841769,0.363636,0.882322,0,0.051334,0.04869,0.000014,0.774826,0.443077,0.575131,0.166735,0.8,1
0.428718,0.806718,0.545455,0.867535,0,0.073639,0.000584,0.514544,0.075853,0.141538,0.626796,0.202881,0.8,1
0.804103,0.913874,0.090909,0.9699,1,0.188901,0.011441,0.001625,0.070354,0.605128,0.589478,0.141947,0.8,1
0.830769,0.916879,1,0.79183,1,0.059872,0.000778,0.719157,0.021791,0.900513,0.584559,0.281587,0.8,1
0.558974,0.814729,0.818182,0.893693,0,0.04365,0.028108,0,0.084674,0.713846,0.490694,0.104296,0.8,1
0.757949,0.742624,0.636364,0.889202,1,0.035112,0.022786,0.000001,0.22175,0.675897,0.579948,0.132919,0.8,1
0.615385,0.747631,0.454545,0.895939,0,0.139808,0.171683,0.0001,0.072118,0.537436,0.737088,0.110503,0.8,1
0.752821,0.765658,0.636364,0.865886,1,0.066275,0.151602,0,0.223825,0.531282,0.514352,0.11013,0.8,1
0.852308,0.847778,1,0.861801,1,0.047492,0.007114,0.64995,0.148075,0.89641,0.565872,0.115627,0.8,1
0.833846,0.781681,0.090909,0.861061,1,0.036393,0.048188,0.284855,0.043997,0.831795,0.565797,0.169904,0.8,1
0.724103,0.847778,0.909091,0.893526,0,0.075667,0.106421,0.089067,0.126284,0.607179,0.58411,0.139015,0.8,1
0.675897,0.570372,0.545455,0.765886,0,0.141942,0.229916,0.001966,0.500882,0.22359,0.571034,0.182343,0.8,1
0.742564,0.829751,0,0.898065,0,0.0508,0.191763,0.182548,0.226938,0.476923,0.584568,0.161492,0.8,1
0.724103,0.871813,0.818182,0.852699,1,0.248666,0.082927,0,0.076891,0.299487,0.467588,0.158796,0.8,1
0.527179,0.849781,0.363636,0.822456,0,0.035112,0.012847,0.013541,0.245616,0.338462,0.589174,0.159383,0.8,1
0.585641,0.937909,0.181818,0.934687,0,0.035859,0.100096,0.497492,0.113832,0.525128,0.584675,0.129882,0.8,1
0.72,0.935906,0.727273,0.899976,1,0.057631,0.01124,0.510532,0.310989,0.649231,0.574995,0.092947,0.8,1
0.742564,0.900855,0,0.929264,0,0.078228,0.089554,0,0.06776,0.53641,0.584816,0.132599,0.8,1
0.669744,0.91087,0.909091,0.91849,1,0.060406,0.007927,0,0.314102,0.094462,0.589445,0.173608,0.8,1
0.752821,0.830753,1,0.853344,0,0.039274,0.02359,0.001966,0.250804,0.739487,0.584615,0.118242,0.8,1
0.675897,0.738618,0.363636,0.877592,0,0.050907,0.11847,0,0.103455,0.493333,0.598345,0.128202,0.8,1
0.424615,0.778677,0.727273,0.925155,0,0.062113,0.384535,0,0.211373,0.408205,0.723761,0.123181,0.8,1
0.739487,0.873816,0.090909,0.885499,1,0.127001,0.079212,0,0.069627,0.566154,0.373845,0.118262,0.8,1
0.82359,0.947924,0,0.928022,0,0.06222,0.022887,0.529589,0.186469,0.563077,0.598625,0.086085,0.8,1
0.792821,0.728603,0.727273,0.823555,1,0.060832,0.056019,0.245737,0.082183,0.494359,0.561027,0.145531,0.8,1
0.854359,0.886835,1,0.8371,1,0.061153,0.000428,0.004524,0.098267,0.619487,0.570637,0.144848,0.8,1
0.692308,0.923889,0.181818,0.835475,1,0.083244,0.002857,0.782347,0.103455,0.845128,0.579789,0.130613,0.8,1
0.781538,0.797704,0.454545,0.934018,1,0.144077,0.117466,0,0.193732,0.538462,0.570829,0.134177,0.8,1
0.830769,0.885833,0.454545,0.889274,0,0.115261,0.101401,0,0.262219,0.458462,0.575126,0.08952,0.8,1
0.535385,0.833757,0,0.91001,1,0.061366,0.045578,0,0.115907,0.30359,0.841793,0.137025,0.8,1
0.634872,0.858794,0.909091,0.872623,1,0.099146,0.007937,0,0.16364,0.235897,0.495777,0.172118,0.8,1
0.681026,0.841769,1,0.927162,0,0.082284,0.32329,0,0.456262,0.529231,0.585134,0.13175,0.8,1
0.681026,0.860797,0.636364,0.891137,0,0.03682,0.001521,0.89669,0.188544,0.255385,0.570478,0.105501,0.8,1
0.554872,0.952931,0.363636,0.901911,0,0.077908,0.00122,0.105316,0.58182,0.335385,0.589155,0.109002,0.8,1
0.633846,0.8628,0.636364,0.898806,0,0.052081,0.009222,0.000002,0.137698,0.525128,0.556598,0.160113,0.8,1
0.76,0.667514,0.909091,0.868681,1,0.14301,0.057726,0,0.094116,0.610256,0.528227,0.163921,0.8,1
0.781538,0.700563,0.818182,0.854921,0,0.074066,0.002616,0.000016,0.142887,0.62359,0.542803,0.151177,0.8,1
0.721026,0.868808,0.636364,0.88741,0,0.031057,0.150598,0.132397,0.092041,0.751795,0.565984,0.137064,0.8,1
0.562051,0.650489,0.727273,0.859556,0,0.063074,0.219876,0,0.217599,0.571282,0.677782,0.138218,0.8,1
0.644103,0.797704,1,0.904324,0,0.063607,0.036541,0,0.092041,0.329231,0.500047,0.156338,0.8,1
0.798974,0.666513,0.454545,0.82291,1,0.051441,0.194775,0.000558,0.043893,0.52,0.575309,0.108051,0.8,1
0.745641,0.860797,0.090909,0.857477,1,0.065635,0.026501,0,0.034451,0.494359,0.490825,0.147938,0.8,1
0.748718,0.843772,0.818182,0.857812,0,0.169691,0.007415,0.000628,0.607762,0.649231,0.575304,0.12823,0.8,1
0.841026,0.745628,0.818182,0.881199,1,0.076521,0.034132,0.317954,0.286085,0.593846,0.584512,0.1366,0.8,1
0.572308,0.71959,1,0.864907,1,0.044717,0.101401,0,0.204109,0.495385,0.739015,0.182073,0.8,1
0.697436,0.755643,0.545455,0.867152,0,0.03095,0.020678,0,0.202034,0.845128,0.47254,0.102766,0.8,1
0.542564,0.663508,0.818182,0.828237,1,0.032657,0.457829,0,0.131472,0.607179,0.692583,0.231214,0.8,1
0.531282,0.865804,0.636364,0.897516,1,0.036073,0.035337,0,0.089966,0.558974,0.406935,0.159299,0.8,1
0.459487,0.824744,0.181818,0.867176,1,0.051014,0.295177,0.000038,0.671059,0.474872,0.866148,0.148841,0.8,1
0.654359,0.530314,0.454545,0.833254,1,0.067236,0.33835,0,0.169866,0.904615,0.709025,0.106276,0.8,1
0.752821,0.69856,0.818182,0.859412,1,0.035326,0.474897,0.00008,0.292311,0.620513,0.533254,0.113883,0.8,1
0.563077,0.866805,0.545455,0.872002,1,0.0508,0.07359,0,0.243541,0.786667,0.411354,0.131482,0.8,1
0.553846,0.860797,0.090909,0.861085,1,0.086446,0.006481,0,0.636816,0.877949,0.80303,0.149895,0.8,1
0.521026,0.71258,0.272727,0.84097,1,0.036286,0.228912,0.000007,0.304763,0.433846,0.673546,0.175627,0.8,1
0.570256,0.822741,0,0.894482,1,0.062113,0.007887,0,0.677285,0.817436,0.729695,0.134034,0.8,1
0.728205,0.890841,1,0.87721,1,0.04301,0.174695,0,0.176092,0.824615,0.505051,0.15374,0.8,1
0.734359,0.866805,0.454545,0.898973,1,0.046745,0.249996,0,0.057383,0.889231,0.434937,0.116685,0.8,1
0.491282,0.642478,1,0.861945,1,0.032231,0.027003,0,0.093079,0.381538,0.738781,0.161181,0.8,1
0.625641,0.857792,0.727273,0.872934,0,0.093597,0.042566,0.000002,0.116945,0.382564,0.588468,0.135255,0.8,1
0.69641,0.84277,0.454545,0.894505,1,0.040128,0.276101,0,0.124209,0.738462,0.556552,0.167817,0.8,1
0.685128,0.848779,0.363636,0.922408,0,0.032871,0.087546,0.001023,0.229013,0.512821,0.546937,0.124965,0.8,1
0.64,0.909868,0,0.906808,0,0.053575,0.091562,0,0.079174,0.581538,0.49545,0.157514,0.8,1
0.585641,0.430167,0.727273,0.821046,1,0.034045,0.81526,0.00008,0.154301,0.292308,0.364576,0.145163,0.8,1
0.676923,0.754642,0.363636,0.930913,0,0.054429,0.062847,0,0.08789,0.922051,0.514497,0.133986,0.8,1
0.634872,0.673523,0.545455,0.849021,1,0.038847,0.156622,0,0.104493,0.614359,0.748279,0.115033,0.8,1
0.260513,0.764656,0.545455,0.862781,1,0.05635,0.025999,0.000006,0.092041,0.465641,0.380139,0.156999,0.8,1
0.723077,0.606425,0.636364,0.830411,1,0.025934,0.159634,0.001494,0.235239,0.898462,0.458291,0.173926,0.8,1
0.500513,0.812726,0.727273,0.866507,1,0.03778,0.460841,0,0.077721,0.835897,0.785901,0.168799,0.8,1
0.526154,0.74663,0.818182,0.864453,1,0.040982,0.121482,0,0.088928,0.792821,0.832295,0.173675,0.8,1
0.569231,0.86981,0.909091,0.875084,1,0.04952,0.124494,0,0.081249,0.645128,0.476955,0.110457,0.6,1
0.486154,0.939912,0.909091,0.923937,1,0.037033,0.02379,0,0.03995,0.918974,0.691952,0.150877,0.8,1
0.572308,0.830753,0,0.885141,1,0.031057,0.0263,0,0.087268,0.715897,0.673471,0.148769,0.8,1
0.521026,0.880826,0.636364,0.884376,1,0.041195,0.190759,0.000001,0.095154,0.705641,0.720651,0.19773,0.8,1
0.611282,0.921886,0.636364,0.879623,1,0.053789,0.022184,0,0.298537,0.721026,0.486457,0.152291,0.8,1
0.692308,0.831754,1,0.914023,1,0.029242,0.195779,0,0.11902,0.929231,0.458151,0.117118,0.8,1
0.642051,0.913874,0,0.892403,1,0.033938,0.006371,0,0.28816,0.970256,0.528638,0.134992,0.8,1
0.641026,0.826747,0.363636,0.878428,1,0.034685,0.121482,0,0.148075,0.716923,0.467261,0.159755,0.8,1
0.789744,0.641476,0.909091,0.853583,0,0.037353,0.020678,0.000231,0.094116,0.655385,0.453517,0.135015,0.8,1
0.341538,0.524305,0.909091,0.836598,1,0.032124,0.194775,0,0.112794,0.449231,0.343215,0.116196,0.8,1
0.626667,0.78769,0.818182,0.85645,1,0.077908,0.309234,0.000012,0.070769,0.438974,0.56163,0.193669,0.8,1
0.683077,0.78068,0.181818,0.859078,1,0.051227,0.018971,0.000001,0.050016,0.946667,0.720426,0.162032,0.8,1
0.492308,0.887836,0.636364,0.892403,1,0.051334,0.13855,0,0.115907,0.494359,0.794692,0.162869,0.8,1
0.810256,0.928896,0.636364,0.921357,1,0.061153,0.218872,0,0.312027,0.774359,0.537551,0.117486,0.8,1
0.649231,0.851783,0.181818,0.846536,1,0.038634,0.02128,0,0.162602,0.803077,0.476973,0.1941,0.8,1
0.489231,0.952931,0.363636,0.91001,1,0.042903,0.103409,0.000002,0.441735,0.889231,0.79545,0.129062,0.8,1
0.473846,0.977968,0,0.90786,1,0.048026,0.001722,0,0.349383,0.765128,0.720342,0.159755,0.8,1
0.8,0.583391,0.636364,0.822934,1,0.096158,0.052807,0.000004,0.022206,0.90359,0.397559,0.130715,0.8,1
0.565128,0.779678,0.818182,0.859412,1,0.06254,0.028911,0.000349,0.073571,0.733333,0.804256,0.134297,0.8,1
0.773333,0.416147,1,0.684161,1,0.029349,0.077506,0.000002,0.309951,0.94359,0.466484,0.15761,0.8,1
0.617436,0.771666,0.636364,0.861777,1,0.141942,0.4257,0,0.379475,0.923077,0.805167,0.128379,0.8,1
0.637949,0.781681,0.636364,0.874176,1,0.029562,0.000794,0,0.349383,0.620513,0.565788,0.167817,0.8,1
0.644103,0.69856,0.545455,0.85688,1,0.040662,0.020578,0,0.102418,0.884103,0.37413,0.140359,0.8,1
0.644103,0.832756,0.545455,0.887554,1,0.026894,0.002224,0.000006,0.108644,0.386667,0.486265,0.180863,0.8,1
0.615385,0.809722,0,0.836049,1,0.132337,0.117466,0,0.11902,0.706667,0.842031,0.134117,0.8,1
0.432821,0.900855,0.727273,0.907955,1,0.063927,0.144574,0,0.403341,0.765128,0.794608,0.193382,0.8,1
0.421538,0.90386,0.181818,0.928333,1,0.153682,0.054614,0,0.092041,0.629744,0.842116,0.158221,0.8,1
0.597949,0.859795,0.181818,0.891376,1,0.042903,0.058128,0,0.098267,0.622564,0.66438,0.136502,0.8,1
0.497436,0.894846,0.545455,0.898997,1,0.040875,0.000489,0,0.07492,0.690256,0.35086,0.123207,0.8,1
0.331282,0.91087,0.727273,0.887936,1,0.0746,0.00362,0.000018,0.16364,0.544615,0.51099,0.199096,0.6,1
0.547692,0.843772,0.090909,0.828094,1,0.035005,0.000967,0.000021,0.073467,0.767179,0.628507,0.144812,0.8,1
0.566154,0.734612,0.545455,0.906952,1,0.053362,0.247988,0,0.355609,0.850256,0.757412,0.135255,0.8,1
0.66359,0.586396,0,0.834329,1,0.033404,0.115458,0.000002,0.109681,0.169231,0.411495,0.168775,0.8,1
0.739487,0.819737,0.818182,0.862231,1,0.028709,0.414656,0,0.187506,0.889231,0.449027,0.153872,0.8,1
0.625641,0.87682,0,0.897372,1,0.042049,0.024794,0,0.305801,0.803077,0.538019,0.125145,0.8,1
0.630769,0.889839,0.363636,0.938103,1,0.039594,0.003891,0,0.082391,0.675897,0.617097,0.214994,0.8,1
0.420513,0.78068,0.818182,0.869971,1,0.035432,0.211844,0,0.482204,0.712821,0.411597,0.207806,0.8,1
0.780513,0.886835,0.454545,0.899809,1,0.060939,0.154614,0,0.107606,0.700513,0.495889,0.127971,0.8,1
0.620513,0.854788,0.181818,0.871835,1,0.048559,0.040558,0.014243,0.353533,0.501538,0.53801,0.262709,0.8,1
0.738462,0.849781,0.545455,0.945103,1,0.033725,0.028007,0.00017,0.084881,0.980513,0.491077,0.147942,0.8,1
0.554872,0.895848,0.181818,0.882083,1,0.039168,0.016361,0,0.576632,0.673846,0.477357,0.180564,0.8,1
0.593846,0.776674,0.727273,0.870592,1,0.184632,0.075196,0,0.232126,0.445128,0.636195,0.16965,0.8,1
0.645128,0.808721,0.818182,0.900215,1,0.028709,0.009011,0.000009,0.062053,0.792821,0.514408,0.124198,0.8,1
0.550769,0.693552,0.818182,0.873196,1,0.090395,0.056823,0,0.135623,0.595897,0.823064,0.12592,0.8,1
0.68,0.530314,0.090909,0.765528,1,0.032124,0.088951,0,0.143924,0.275897,0.509741,0.149404,0.8,1
0.507692,0.708574,0.545455,0.844243,1,0.03842,0.008188,0,0.189582,0.590769,0.411392,0.163592,0.8,1
0.661538,0.782682,1,0.894458,1,0.039701,0.13855,0,0.123171,0.774359,0.446956,0.140599,0.8,1
0.775385,0.796703,0.090909,0.878189,1,0.041622,0.364455,0.000002,0.035592,0.837949,0.430266,0.163048,0.8,1
0.571282,0.909868,1,0.917415,1,0.045144,0.007716,0,0.313064,0.878974,0.71142,0.126091,0.8,1
0.706667,0.673523,0.909091,0.852986,1,0.034258,0.004975,0,0.289198,0.833846,0.444271,0.129723,0.8,1
0.290256,0.649488,0.181818,0.887506,1,0.034472,0.015859,0,0.262219,0.379487,0.696698,0.143366,0.6,1
0.569231,0.931901,0.727273,0.927831,1,0.039168,0.016059,0,0.404379,0.741538,0.617681,0.161587,0.8,1
0.665641,0.91087,0.090909,0.874892,1,0.060726,0.125498,0,0.032583,0.902564,0.411443,0.147427,0.8,1
0.631795,0.901857,0.090909,0.912637,1,0.051014,0.090257,0,0.380513,0.619487,0.446525,0.15541,0.8,1
0.615385,0.808721,0.363636,0.88698,1,0.04301,0.208831,0,0.187506,0.829744,0.804415,0.113536,0.8,1
0.522051,0.957939,0.818182,0.908648,1,0.056564,0.11847,0,0.355609,0.881026,0.804471,0.138011,0.8,1
0.469744,0.90386,0.636364,0.88913,1,0.052615,0.136542,0.000008,0.135623,0.707692,0.784919,0.174598,0.8,1
0.686154,0.857792,0,0.908266,1,0.029883,0.101401,0.000011,0.11902,0.815385,0.479377,0.154124,0.8,1
0.761026,0.638472,0.545455,0.89527,1,0.025507,0.332326,0.000222,0.044723,0.767179,0.469996,0.153488,0.8,1
0.571282,0.737617,0.272727,0.861395,1,0.0508,0.014252,0,0.309951,0.837949,0.739104,0.146565,0.8,1
0.54359,0.802712,0.363636,0.877281,1,0.042796,0.201803,0,0.140811,0.866667,0.621923,0.173459,0.8,1
0.577436,0.722595,0.545455,0.873292,1,0.043436,0.314254,0,0.391927,0.821538,0.701641,0.215988,0.8,1
0.544615,0.831754,1,0.854372,1,0.057311,0.019774,0.001003,0.087164,0.572308,0.822863,0.150913,0.8,1
0.694359,0.949927,0.090909,0.915862,1,0.030309,0.068269,0,0.322403,0.973333,0.601024,0.13393,0.8,1
0.568205,0.702565,0.818182,0.879981,1,0.030309,0.152606,0,0.127322,0.478974,0.762266,0.153968,0.8,1
0.659487,0.685541,0.272727,0.838796,1,0.092743,0.30823,0,0.089966,0.415385,0.6732,0.126749,0.8,1
0.705641,0.947924,0.545455,0.900884,1,0.058058,0.221884,0,0.278821,0.900513,0.636134,0.121958,0.8,1
0.714872,0.820738,0.090909,0.876732,1,0.061366,0.089152,0,0.13251,0.671795,0.486448,0.125563,0.8,1
0.54359,0.889839,0,0.86591,1,0.054002,0.039052,0,0.06392,0.657436,0.618261,0.194232,0.8,1
0.57641,0.744627,0.636364,0.844505,1,0.038954,0.076401,0,0.074089,0.756923,0.757552,0.18962,0.8,1
0.635897,0.849781,0,0.835452,1,0.088901,0.119474,0,0.047006,0.989744,0.869524,0.13395,0.8,1
0.648205,0.830753,0,0.887315,1,0.049413,0.08102,0.000007,0.111757,0.707692,0.511537,0.148122,0.8,1
0.387692,0.90386,0.636364,0.890349,1,0.056884,0.103409,0.000286,0.123171,0.468718,0.540666,0.234269,0.8,1
0.593846,0.859795,0.272727,0.904802,1,0.064568,0.169675,0,0.079278,0.938462,0.794716,0.151273,0.8,1
0.572308,0.872814,0.818182,0.893622,1,0.047919,0.178711,0,0.16364,0.484103,0.673265,0.154975,0.8,1
0.683077,0.786688,0.909091,0.793956,1,0.095624,0.2259,0.000219,0.086645,0.470769,0.832576,0.143613,0.8,1
0.662564,0.695555,0.181818,0.847301,1,0.058378,0.519074,0.006891,0.143924,0.526154,0.495632,0.184866,0.8,1
0.877949,0.462214,0.909091,0.820115,1,0.062967,0.274093,0,0.098267,0.732308,0.505107,0.164306,0.8,1
0.708718,0.716586,0.636364,0.855781,1,0.03746,0.008529,0.000009,0.25703,0.52,0.52392,0.131147,0.8,1
0.666667,0.527309,0.454545,0.820425,0,0.567769,0.132526,0,0.077721,0.723077,0.561607,0.126607,1,1
0.474872,0.415146,0.636364,0.69484,1,0.032231,0.005638,0.000018,0.767563,0.624615,0.649051,0.101554,0.8,1
0.609231,0.722595,0.363636,0.861371,0,0.042476,0.015658,0,0.053336,0.417436,0.598003,0.143092,0.8,1
0.801026,0.768662,1,0.855638,1,0.042049,0.011943,0.000005,0.321366,0.498462,0.575524,0.154761,0.8,1
0.721026,0.660504,0.909091,0.876469,0,0.13127,0.137546,0,0.183356,0.810256,0.444402,0.141857,0.8,1
0.821538,0.795702,0.090909,0.876565,0,0.053789,0.041863,0.000113,0.058524,0.773333,0.369566,0.109786,0.8,1
0.737436,0.703567,0.454545,0.880984,0,0.041836,0.032124,0.000011,0.052195,0.738462,0.476917,0.163468,0.8,1
0.586667,0.691549,0.727273,0.884496,0,0.13127,0.079112,0.000132,0.048355,0.326154,0.430612,0.153421,0.8,1
0.61641,0.775672,0,0.888581,1,0.05048,0.270077,0,0.07575,0.495385,0.560999,0.134083,0.8,1
0.460513,0.597412,0.818182,0.893622,0,0.149413,0.34839,0.00001,0.188544,0.517949,0.629433,0.13811,1,1
0.683077,0.435175,0.545455,0.805518,0,0.041729,0.370479,0,0.094116,0.615385,0.537612,0.10141,0.8,1
0.675897,0.617441,1,0.85872,0,0.069264,0.271081,0,0.178167,0.191795,0.560503,0.110466,0.8,1
0.424615,0.486249,0.545455,0.845127,0,0.033191,0.012947,0,0.099305,0.377436,0.598756,0.170442,0.8,1
0.710769,0.57538,0.818182,0.831581,1,0.085486,0.375499,0,0.245616,0.504615,0.55181,0.153011,0.8,1
0.614359,0.518296,0.727273,0.809986,1,0.035539,0.480921,0.004363,0.125246,0.466667,0.444402,0.156975,0.8,1
0.851282,0.497266,0.090909,0.832967,1,0.055496,0.09869,0,0.078136,0.650256,0.598415,0.129579,0.8,1
